Station Number,Standard Route Identifier,Mile Marker,Latitude,Longitude,County Code,Municipal Code,County,Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field),Year,Station Type,Direction
8-4-651,06141025__,0.94,39.47375331,-75.01753096,6,614,Cumberland,Vineland City,6645,3254,3391,01/01/2012,Volume 48hrs,North/South
12mc4b,00000516__,15.46,40.413578,-74.11345,13,1331,Monmouth,Middletown Twp,12070,6572,5498,01/01/2012,major,East/West
1-5-206,00000046__,10.71,40.83392305,-74.98906226,21,2123,Warren,White Twp,8706,4306,4400,01/01/2012,Classification 48hrs,East/West
121302,13000001__,0.94,40.236885,-74.45929,13,1332,Monmouth,Millstone Twp,2184,1063,1121,01/01/2012,Volume 48hrs,East/West
111917,19000622__,2.97,41.06646451,-74.79067646,19,1910,Sussex,Hampton Twp,3654,1850,1804,01/01/2012,Volume 48hrs,North/South
121303,13000003__,2.97,40.309155,-74.31144,13,1326,Monmouth,Manalapan Twp,10612,5281,5331,01/01/2012,Volume 48hrs,North/South
8-4-502,01000688__,1.45,39.61549003,-74.79061208,1,113,Atlantic,Hammonton Town,1592,840,752,01/01/2012,Volume 48hrs,East/West
121304,13000003__,6.98,40.3593278,-74.2743806,13,1328,Monmouth,Marlboro Twp,10331,5131,5200,01/01/2012,Volume 48hrs,North/South
12msac,00000563__,23.61,39.604446,-74.59403,1,117,Atlantic,Mullica Twp,933,469,464,01/01/2012,major,North/South
121305,13000003__,10.23,40.3904833,-74.23005,13,1330,Monmouth,Aberdeen Twp,12803,6473,6330,01/01/2012,Volume 48hrs,North/South
2-4-615,02251010__,0.09,40.8610362,-74.06961859,2,225,Bergen,Hasbrouck Heights Boro,731,384,347,01/01/2012,Volume 48hrs,North/South
121306,130000041_,0.92,40.3144222,-74.2309806,13,1328,Monmouth,Marlboro Twp,3891,1990,1901,01/01/2012,Volume 48hrs,East/West
7-0-420,00000561__,39.63,39.84013504,-74.95972201,4,413,Camden,Gibbsboro Boro,22066,11126,10940,01/01/2012,Volume 48hrs,North/South
121202,12000701__,0.14,40.52421,-74.445915,12,1217,Middlesex,Piscataway Twp,12736,6679,6057,01/01/2012,Volume 48hrs,East/West
8-4-445,00000550__,3.55,39.2594383,-74.90644546,6,609,Cumberland,Maurice River Twp,1941,963,978,01/01/2012,Classification 48hrs,East/West
121206,00000001__,21.01,40.4345056,-74.5123,12,1215,Middlesex,North Brunswick Twp,69653,34485,35168,01/01/2012,Volume 48hrs,North/South
120209,02000035__,0.32,40.96329004,-73.96049602,2,209,Bergen,Demarest Boro,1853,455,1398,01/01/2012,Volume 48hrs,North/South
121210,12000670__,1.3,40.4711,-74.3529722,12,1219,Middlesex,Sayreville Boro,15371,5431,9940,01/01/2012,Volume 48hrs,North/South
8-6-093,00000054__,10.73,39.63608026,-74.80331941,1,113,Atlantic,Hammonton Town,12755,6591,6164,01/01/2012,Classification 48hrs,North/South
121315,13000006A1,0.63,40.43345,-74.23845,13,1330,Monmouth,Aberdeen Twp,10422,5330,5092,01/01/2012,Volume 48hrs,East/West
090207,020000802_,3.93,40.95760956,-73.95438663,2,209,Bergen,Demarest Boro,1420,722,698,01/01/2012,Classification 48hrs,East/West
3-4e201,00000001__,47.23,40.701256,-74.185219,7,714,Essex,Newark City,39776,16975,22801,01/01/2012,Volume 48hrs,North/South
090208,02081143__,0.72,40.95691004,-73.96852107,2,209,Bergen,Demarest Boro,2191,1031,1160,01/01/2012,Classification 48hrs,North/South
121311,130000061_,0.63,40.4350639,-74.211175,13,1322,Monmouth,Keyport Boro,6104,3067,3037,01/01/2012,Volume 48hrs,East/West
090210,02191164__,0.27,40.8495818,-73.96909034,2,219,Bergen,Fort Lee Boro,8533,4773,3760,01/01/2012,Volume 48hrs,North/South
121330,130000113_,0.3,40.30227625,-74.01320432,13,1353,Monmouth,West Long Branch Boro,4776,2441,2335,01/01/2012,Volume 48hrs,North/South
090211,02031262__,0.6,40.9276996,-74.01612732,2,238,Bergen,New Milford Boro,2754,1413,1341,01/01/2012,Classification 48hrs,East/West
121331,13000012__,2.01,40.3630417,-74.1127861,13,1331,Monmouth,Middletown Twp,7434,3589,3845,01/01/2012,Volume 48hrs,East/West
090229,00000507__,16.23,40.94398798,-74.14044035,2,217,Bergen,Fair Lawn Boro,14948,6310,8638,01/01/2012,Volume 48hrs,North/South
121329,130000112_,2.08,40.33451536,-74.04629681,13,1323,Monmouth,Little Silver Boro,13826,6676,7150,01/01/2012,Volume 48hrs,North/South
110328,03000616__,11.04,39.925167,-74.78271,3,333,Burlington,Southampton Twp,6598,3246,3352,01/01/2012,Volume 48hrs,East/West
11ms2c,00000045__,3.58,39.602611,-75.417288,17,1705,Salem,Mannington Twp,3333,1636,1697,01/01/2012,major,North/South
090704,00000023__,1.04,40.83969433,-74.22774243,7,704,Essex,Cedar Grove Twp,21080,10424,10656,01/01/2012,Volume 48hrs,North/South
3-9-513,00000022__,56.01,40.6962975,-74.25565014,20,2019,Union,Union Twp,73992,39861,34131,01/01/2012,Volume 48hrs,East/West
090707,00000508__,2.61,40.77151107,-74.30811673,7,710,Essex,Livingston Twp,17658,9158,8500,01/01/2012,Classification 48hrs,East/West
121346,130000181_,7.26,40.1760139,-74.0376917,13,1306,Monmouth,Belmar Boro,6547,3244,3303,01/01/2012,Volume 48hrs,East/West
090708,00000508__,5.01,40.7731403,-74.26575362,7,722,Essex,West Orange Twp,21059,10668,10391,01/01/2012,Volume 48hrs,East/West
121349,13000020__,0.62,40.11311753,-74.07098402,13,1308,Monmouth,Brielle Boro,5283,3019,2264,01/01/2012,Volume 48hrs,North/South
090709,00000508__,6.02,40.77596635,-74.24865751,7,722,Essex,West Orange Twp,25487,14046,11441,01/01/2012,Volume 48hrs,East/West
121348,130000183_,4.02,40.19426225,-74.00897575,13,1305,Monmouth,Avon-By-The-Sea Boro,3384,1682,1702,01/01/2012,Volume 48hrs,North/South
090716,00000509__,15.76,40.79370443,-74.19627915,7,702,Essex,Bloomfield Twp,8138,3381,4757,01/01/2012,Volume 48hrs,North/South
121365,13000046__,2.43,40.2938722,-74.2436,13,1328,Monmouth,Marlboro Twp,4707,2338,2369,01/01/2012,Volume 48hrs,East/West
091404,00000046__,42.03,40.89734288,-74.4936299,14,1408,Morris,Denville Twp,25407,12926,12481,01/01/2012,Volume 48hrs,East/West
121366,13000047__,0.54,40.15270002,-74.04734601,13,1349,Monmouth,Spring Lake Heights Boro,6468,3315,3153,01/01/2012,Volume 48hrs,East/West
091405,00000053__,2.52,40.86469743,-74.47069194,14,1429,Morris,Parsippany-Troy Hills Twp,12875,6598,6277,01/01/2012,Volume 48hrs,North/South
121381,00000018__,7.99,40.2021806,-74.0542833,13,1334,Monmouth,Neptune Twp,46382,24104,22278,01/01/2012,Volume 48hrs,North/South
091428,00000517__,9.53,40.78678597,-74.78076021,14,1438,Morris,Washington Twp,10722,5407,5315,01/01/2012,Volume 48hrs,North/South
121386,00000524__,38.69,40.1539,-74.0576139,13,1352,Monmouth,Wall Twp,12252,5432,6820,01/01/2012,Volume 48hrs,East/West
112023,20000613__,7.94,40.60892163,-74.25108799,20,2009,Union,Linden City,7048,3386,3662,01/01/2012,Volume 48hrs,East/West
121388,00000547__,25.91,40.2769167,-74.0713861,13,1311,Monmouth,Eatontown Boro,11951,6504,5447,01/01/2012,Volume 48hrs,North/South
120203,02000029__,0.99,40.82193434,-73.99045226,2,206,Bergen,Cliffside Park Boro,10673,5715,4958,01/01/2012,Volume 48hrs,North/South
121389,13000051__,3.08,40.31860502,-74.08024205,13,1336,Monmouth,Tinton Falls Boro,12102,6647,5455,01/01/2012,Volume 48hrs,North/South
112027,20000616__,0.67,40.64177254,-74.220766,20,2009,Union,Linden City,7260,4133,3127,01/01/2012,Volume 48hrs,East/West
121402,00000510__,16.1,40.78935,-74.40044,14,1411,Morris,Florham Park Boro,29603,14328,15275,01/01/2012,major,East/West
122119,00000517__,21.65,40.9321697,-74.80762356,21,2101,Warren,Allamuchy Twp,9308,4718,4590,01/01/2012,Volume 48hrs,North/South
121402,00000510__,16.1,40.78935,-74.40044,14,1411,Morris,Florham Park Boro,31076,15277,15799,01/01/2012,major,East/West
122194,21151207__,0.3,40.70275179,-75.15944212,21,2115,Warren,Lopatcong Twp,2584,1400,1184,01/01/2012,Classification 48hrs,East/West
121402,00000510__,16.1,40.78935,-74.40044,14,1411,Morris,Florham Park Boro,29603,14328,15275,01/01/2012,major,East/West
12n664r,00000078__A100630,,40.6641702,-75.09014845,21,2107,Warren,Greenwich Twp,0,957,0,01/01/2012,ramp,East
121402,00000510__,16.1,40.78935,-74.40044,14,1411,Morris,Florham Park Boro,16506,8488,8018,01/01/2012,major,East/West
7-0-387,04181082__,0.12,39.88884405,-75.05208003,4,418,Camden,Haddon Heights Boro,974,418,556,01/01/2012,Volume 48hrs,North/South
121402,00000510__,16.1,40.78935,-74.40044,14,1411,Morris,Florham Park Boro,31141,15490,15651,01/01/2012,major,East/West
1-4-306,00000057__,0.41,40.69986409,-75.1581692,21,2115,Warren,Lopatcong Twp,14270,7607,6663,01/01/2012,Classification 48hrs,East/West
3c6p901,00000021__,4.4,40.760784,-74.16409,7,714,Essex,Newark City,70310,35222,35088,01/01/2012,Volume 48hrs,North/South
1-4-632,14191044__,0.18,40.79321894,-74.63031824,14,1419,Morris,Mendham Twp,473,245,228,01/01/2012,Classification 48hrs,East/West
121405,14000699__,3.2,40.97192,-74.55445,14,1414,Morris,Jefferson Twp,8464,4395,4069,01/01/2012,Volume 48hrs,North/South
1-5-510,21000612__,0.33,40.92578034,-74.81432058,21,2101,Warren,Allamuchy Twp,3550,1891,1659,01/01/2012,Classification 48hrs,North/South
090308,00000070__,20.33,39.88585565,-74.70813783,3,333,Burlington,Southampton Twp,15340,7577,7763,01/01/2012,Classification 48hrs,East/West
1-6-039,00000206__,83.9,40.7394061,-74.69198879,14,1407,Morris,Chester Twp,19387,9389,9998,01/01/2012,Volume 48hrs,North/South
111686,16000677__,0.95,40.95182,-74.18117,16,1606,Passaic,North Haledon Boro,9372,4961,4411,01/01/2012,Volume 48hrs,North/South
1-8-032,21000642__,0.43,40.66579739,-75.16572143,21,2120,Warren,Pohatcong Twp,2476,1209,1267,01/01/2012,Volume 48hrs,East/West
111689,16000679__,0.93,40.90284,-74.26943,16,1614,Passaic,Wayne Twp,3213,1381,1832,01/01/2012,Volume 48hrs,North/South
1-8-055,21211101__,1.1,40.7549993,-74.97825367,21,2121,Warren,Washington Boro,7628,4311,3317,01/01/2012,Volume 48hrs,North/South
111692,16000681__,3.7,40.96393,-74.22429,16,1614,Passaic,Wayne Twp,14371,7105,7266,01/01/2012,Volume 48hrs,North/South
1-8-091,00000521__,6.02,40.97906097,-74.95399111,21,2104,Warren,Blairstown Twp,3602,1839,1763,01/01/2012,Volume 48hrs,North/South
11ms2d,00000045__,6.81,39.629053,-75.367806,17,1705,Salem,Mannington Twp,5064,2272,2792,01/01/2012,major,North/South
1-8-227,14231563__,1.6,40.83668355,-74.503441,14,1429,Morris,Parsippany-Troy Hills Twp,2988,1522,1466,01/01/2012,Classification 48hrs,East/West
121512,15000635__,2.24,40.10047723,-74.04837628,15,1525,Ocean,Point Pleasant Beach Boro,4752,2174,2578,01/01/2012,Volume 48hrs,North/South
1-8-646,14381084__,1.38,40.78064186,-74.85131054,14,1438,Morris,Washington Twp,490,255,235,01/01/2012,Volume 48hrs,North/South
121513,15060044__,1.03,40.06809054,-74.13231805,15,1506,Ocean,Brick Twp,498,136,362,01/01/2012,Volume 48hrs,North/South
1-8-647,14381064__,2.45,40.81176036,-74.79832485,14,1438,Morris,Washington Twp,4818,2412,2406,01/01/2012,Classification 48hrs,East/West
110355,03000630__,3.53,40.028559,-74.879695,3,338,Burlington,Willingboro Twp,13808,6865,6943,01/01/2012,Volume 48hrs,East/West
1-8-677,21201051__,0.12,40.64322971,-75.1522471,21,2120,Warren,Pohatcong Twp,308,116,192,01/01/2012,Volume 48hrs,North/South
4-0-352,12081016__,0.06,40.3499528,-74.4392,12,1208,Middlesex,Jamesburg Boro,208,92,116,01/01/2012,Volume 48hrs,East/West
1-8-692,21051011__,1.87,40.74460301,-75.01349134,21,2122,Warren,Washington Twp,170,97,73,01/01/2012,Classification 48hrs,North/South
4-4-201,00000001__,12.17,40.3408139,-74.6264444,12,1218,Middlesex,Plainsboro Twp,79645,41485,38160,01/01/2012,Volume 48hrs,North/South
1-8-728,21191104__,0.55,40.69990254,-75.18156912,21,2119,Warren,Phillipsburg Town,673,347,326,01/01/2012,Volume 48hrs,East/West
4-4-216,00000130__,75.6,40.361417,-74.49675,12,1221,Middlesex,South Brunswick Twp,34556,17483,17073,01/01/2012,Volume 48hrs,North/South
1-8-789,19000669__,3.94,41.03814049,-74.70064081,19,1902,Sussex,Andover Twp,3570,1765,1805,01/01/2012,Classification 48hrs,North/South
090405,00000073__,16.31,39.78921418,-74.91242106,4,406,Camden,Berlin Twp,29709,15977,13732,01/01/2012,Volume 48hrs,North/South
1-8-793,19131005__,0.32,41.1114822,-74.68442485,19,1913,Sussex,Lafayette Twp,182,102,80,01/01/2012,Classification 48hrs,East/West
12c164r,00000018__,13.7,40.28619,-74.07488,13,1311,Monmouth,Eatontown Boro,,10317,,01/01/2012,ramp,North
2-4-320,00000063__,1.91,40.82682406,-73.99586315,2,249,Bergen,Ridgefield Boro,18446,9987,8459,01/01/2012,Volume 48hrs,North/South
12c165r,00000018__A101440,14.4,40.282543,-74.089836,13,1336,Monmouth,Tinton Falls Boro,,6298,,01/01/2012,ramp,North
2-4-325,00000020__,1.18,40.90847089,-74.13417234,16,1608,Passaic,Paterson City,73380,38430,34950,01/01/2012,Volume 48hrs,North/South
4-4-338,00000028__,4.88,40.5706194,-74.5882861,18,1806,Somerset,Bridgewater Twp,15084,6612,8472,01/01/2012,Volume 48hrs,East/West
2-4-621,02441058__,0.06,40.96696797,-74.0360568,2,244,Bergen,Oradell Boro,206,96,110,01/01/2012,Volume 48hrs,East/West
12c170r,00000018__,14,40.28462,-74.07596,13,1311,Monmouth,Eatontown Boro,,7854,,01/01/2012,ramp,North
2-4-630,02701058__,0.34,40.98489105,-74.16137631,2,270,Bergen,Wyckoff Twp,263,121,142,01/01/2012,Volume 48hrs,North/South
12c177r,00000018__X101420,14.2,40.278465,-74.07675,13,1336,Monmouth,Tinton Falls Boro,,,1883,01/01/2012,ramp,South
2-4-636,02201230__,0.1,41.00348734,-74.21350022,2,220,Bergen,Franklin Lakes Boro,291,133,158,01/01/2012,Classification 48hrs,North/South
12c178r,00000018__X101450,14.5,40.279305,-74.08781,13,1336,Monmouth,Tinton Falls Boro,,1604,,01/01/2012,ramp,North
2-4-642,09081265__,0.09,40.80173072,-74.01707395,9,908,Hudson,North Bergen Twp,2480,979,1501,01/01/2012,Classification 48hrs,North/South
12c179r,00000018__,14.7,40.280148,-74.08982,13,1336,Monmouth,Tinton Falls Boro,,,995,01/01/2012,ramp,South
8-5-509,05000644__,0.55,38.97303915,-74.92614813,5,505,Cape May,Lower Twp,1133,458,675,01/01/2012,Volume 48hrs,North/South
12c184r,00000018__Y101390,13.9,40.27937,-74.07728,13,1336,Monmouth,Tinton Falls Boro,,,6242,01/01/2012,ramp,South
122005,20000622__,6.45,40.71026,-74.356926,20,2018,Union,Summit City,3969,2149,1820,01/01/2012,major,East/West
12n037r,00000280__B100990,9.9,40.77629,-74.24272,7,722,Essex,West Orange Twp,,6145,,01/01/2012,ramp,East
1-8-781,19091017__,0.17,41.15958867,-74.57787763,19,1909,Sussex,Hamburg Boro,723,355,368,01/01/2012,Volume 48hrs,East/West
12n036r,00000280__B100860,8.6,40.795326,-74.25269,7,722,Essex,West Orange Twp,0,3244,0,01/01/2012,ramp,East
8-4-518,06000670__,14.39,39.31810308,-75.01203711,6,602,Cumberland,Commercial Twp,4908,2462,2446,01/01/2012,Volume 48hrs,East/West
12n097r,00000287__A104080,40.8,40.848602,-74.4264,14,1429,Morris,Parsippany-Troy Hills Twp,0,4332,0,01/01/2012,ramp,North
8-4-505,01000672__,1.14,39.52119171,-74.96552882,1,104,Atlantic,Buena Boro,3065,1536,1529,01/01/2012,Classification 48hrs,North/South
4-4-422,00000514__,21.9,40.4861861,-74.4928417,18,1808,Somerset,Franklin Twp,17324,8648,8676,01/01/2012,Volume 48hrs,East/West
8-4-515,06000670__,12.59,39.33919346,-75.02945452,6,610,Cumberland,Millville City,8011,4019,3992,01/01/2012,Volume 48hrs,East/West
4-4-422,00000514__,21.9,40.4861861,-74.4928417,18,1808,Somerset,Franklin Twp,17324,8648,8676,01/01/2012,Volume 48hrs,East/West
8-4-544,01000690__,2.37,39.53477362,-74.91935639,1,105,Atlantic,Buena Vista Twp,4313,2168,2145,01/01/2012,Classification 48hrs,East/West
4-4-430,00000514__,36.07,40.5714083,-74.2713361,12,1225,Middlesex,Woodbridge Twp,11753,5678,6075,01/01/2012,Volume 48hrs,East/West
8-4-604,01081361__,0.71,39.34452554,-74.63230359,1,108,Atlantic,Egg Harbor Twp,2810,1424,1386,01/01/2012,Volume 48hrs,North/South
12n105r,00000287__A105370,53.7,40.996845,-74.30832,14,1433,Morris,Riverdale Boro,0,8583,0,01/01/2012,ramp,North
8-4-614,01121249__,0.61,39.49577695,-74.67543123,1,112,Atlantic,Hamilton Twp,445,179,266,01/01/2012,Volume 48hrs,North/South
12n111r,00000287__B103650,36.5,40.79673,-74.46815,14,1424,Morris,Morristown Town,0,10421,0,01/01/2012,ramp,North
8-4-611,01111191__,2.14,39.52157106,-74.57681399,1,111,Atlantic,Galloway Twp,676,345,331,01/01/2012,Classification 48hrs,North/South
12n059r,00000280__X100840,8.4,40.797844,-74.25141,7,722,Essex,West Orange Twp,,,7823,01/01/2012,ramp,West
8-4-547,05000647__,0.77,38.98765897,-74.90973148,5,505,Cape May,Lower Twp,1927,858,1069,01/01/2012,Volume 48hrs,East/West
12n060r,00000280__X101000,10,40.774975,-74.24102,7,722,Essex,West Orange Twp,,,15546,01/01/2012,ramp,West
8-8-023,06000670__,7.7,39.37556703,-75.1077871,6,610,Cumberland,Millville City,3053,1572,1481,01/01/2012,Volume 48hrs,East/West
12n081r,00000280__Y100950,9.5,40.780582,-74.24228,7,722,Essex,West Orange Twp,,,6677,01/01/2012,ramp,West
1116104,160006942_,0.25,41.00699,-74.33493,16,1601,Passaic,Bloomingdale Boro,11061,5134,5927,01/01/2012,Volume 48hrs,North/South
12n116r,00000287__B104090,40.9,40.848755,-74.42613,14,1429,Morris,Parsippany-Troy Hills Twp,0,948,0,01/01/2012,ramp,North
110414,04000613__,1,39.9439,-75.056595,4,427,Camden,Pennsauken Twp,4770,2648,2122,01/01/2012,Volume 48hrs,North/South
12n117r,00000287__B104100,41,40.849216,-74.42522,14,1429,Morris,Parsippany-Troy Hills Twp,0,3204,0,01/01/2012,ramp,North
8-8-626,06101131__,0.17,39.412044,-75.04698,6,610,Cumberland,Millville City,1344,662,682,01/01/2012,Volume 48hrs,North/South
12n163r,00000287__Y106740,67.4,41.106388,-74.16612,2,233,Bergen,Mahwah Twp,0,5288,0,01/01/2012,ramp,North
4N5H708,12000657__,2.28,40.5670889,-74.3287972,12,1225,Middlesex,Woodbridge Twp,16415,7160,9255,01/01/2012,Volume 48hrs,North/South
12n175r,00000287__A105860,58.6,41.027817,-74.242676,2,242,Bergen,Oakland Boro,0,4060,0,01/01/2012,ramp,North
8-4-665,05051218__,0.36,39.02174836,-74.94157611,5,505,Cape May,Lower Twp,151,67,84,01/01/2012,Volume 48hrs,East/West
090501,00000009__,12.37,39.07897329,-74.82546802,5,506,Cape May,Middle Twp,16207,8203,8004,01/01/2012,Classification 48hrs,North/South
8-7-193,00000055__,33.4,39.49845365,-75.0697453,6,614,Cumberland,Vineland City,39117,19571,19546,01/01/2012,Volume 48hrs,North/South
090502,05000628__,2.24,39.17413052,-74.77643738,5,504,Cape May,Dennis Twp,1943,979,964,01/01/2012,Classification 48hrs,North/South
8-7-795,01191211__,0.09,39.39516815,-74.52661428,1,119,Atlantic,Pleasantville City,1494,603,891,01/01/2012,Volume 48hrs,East/West
090603,06000634__,4.01,39.46686572,-75.12655913,6,603,Cumberland,Deerfield Twp,3034,1506,1528,01/01/2012,Classification 48hrs,North/South
8-4-662,05061239__,0.56,39.01828168,-74.89077878,5,506,Cape May,Middle Twp,975,476,499,01/01/2012,Volume 48hrs,North/South
090606,00000077__,1.69,39.44800728,-75.21838677,6,601,Cumberland,Bridgeton City,17713,8805,8908,01/01/2012,Volume 48hrs,North/South
8-4-659,05071013__,1.24,38.9988377,-74.80739562,5,507,Cape May,North Wildwood City,1791,804,987,01/01/2012,Volume 48hrs,North/South
4-4-661,12091402__,0.46,40.3574861,-74.3597111,12,1209,Middlesex,Old Bridge Twp,12691,6288,6403,01/01/2012,Volume 48hrs,East/West
8-5-042,00000040__,46.57,39.44807076,-74.73254134,1,112,Atlantic,Hamilton Twp,23411,12093,11318,01/01/2012,Volume 48hrs,East/West
090701,07000618__,0.07,40.85300838,-74.21738999,7,704,Essex,Cedar Grove Twp,3570,1943,1627,01/01/2012,Classification 48hrs,East/West
2-4-612,02061030__,0.16,40.82564014,-73.98175083,2,206,Bergen,Cliffside Park Boro,271,130,141,01/01/2012,Volume 48hrs,North/South
090702,07201127__,0.79,40.83418158,-74.23578556,7,720,Essex,Verona Twp,2550,1477,1073,01/01/2012,Classification 48hrs,East/West
8-4-675,05051077__,0.4,38.98301448,-74.93351888,5,505,Cape May,Lower Twp,1164,578,586,01/01/2012,Volume 48hrs,East/West
12n865r,00000046__B107100,,40.84743153,-74.0210476,2,250,Bergen,Ridgefield Park Village,0,1849,0,01/01/2012,ramp,East
8-8-103,06141029__,2.09,39.4779221,-75.00465971,6,614,Cumberland,Vineland City,14085,7394,6691,01/01/2012,Volume 48hrs,East/West
4-5-005,00000001__,23.92,40.45880052,-74.46901898,12,1215,Middlesex,North Brunswick Twp,95872,47380,48492,01/01/2012,Volume 48hrs,North/South
6-4-668,15071983__,0.15,39.95100321,-74.17079876,15,1507,Ocean,Toms River Twp,120,53,67,01/01/2012,Volume 48hrs,East/West
090714,00000509__,11.86,40.74799621,-74.20817096,7,714,Essex,Newark City,9746,6045,3701,01/01/2012,Classification 48hrs,North/South
8-8-204,05000615__,0.55,39.08414007,-74.82806427,5,506,Cape May,Middle Twp,6718,3206,3512,01/01/2012,Classification 48hrs,North/South
12n886r,00000046__B106600,,40.88686409,-74.09236109,2,257,Bergen,Saddle Brook Twp,0,2141,0,01/01/2012,ramp,East
8-8-111,06000672__,0.45,39.4713205,-74.97715697,6,614,Cumberland,Vineland City,7811,3904,3907,01/01/2012,Volume 48hrs,North/South
12n030r,00000280__B100400,4,40.82387,-74.32152,7,718,Essex,Roseland Boro,0,9686,0,01/01/2012,ramp,North
8-8-326,01181142__,0.05,39.36791849,-74.57722348,1,118,Atlantic,Northfield City,664,308,356,01/01/2012,Volume 48hrs,East/West
12n032r,00000280__B100510,5.1,40.81146,-74.30888,7,718,Essex,Roseland Boro,0,3419,0,01/01/2012,ramp,North
8-8-284,01141144__,0.21,39.3356514,-74.59097211,1,114,Atlantic,Linwood City,244,123,121,01/01/2012,Volume 48hrs,North/South
12ms6c,04000673__,2.9,39.809666,-75.01924,4,422,Camden,Lindenwold Boro,20193,9708,10485,01/01/2012,major,North/South
7-0-453,06000661__,3.07,39.4430521,-75.27330837,6,607,Cumberland,Hopewell Twp,686,367,319,01/01/2012,Classification 48hrs,North/South
12n034r,00000280__B100640,6.4,40.80543,-74.2856,7,710,Essex,Livingston Twp,0,2251,0,01/01/2012,ramp,North
111466,14000659__,0.4,40.88399,-74.56405,14,1409,Morris,Dover Town,8219,4036,4183,01/01/2012,Volume 48hrs,East/West
110356,03000630__,4.52,40.025781,-74.862244,3,338,Burlington,Willingboro Twp,16633,8414,8219,01/01/2012,Volume 48hrs,East/West
8-8-437,01000634__,0.68,39.43634874,-74.49859152,1,101,Atlantic,Absecon City,8693,4067,4626,01/01/2012,Volume 48hrs,North/South
4-5-030,00000009__,125.56,40.4185417,-74.3043694,12,1209,Middlesex,Old Bridge Twp,68062,33838,34224,01/01/2012,Volume 48hrs,North/South
8-8-433,01000601__,0.74,39.43159941,-74.50764194,1,101,Atlantic,Absecon City,4288,1957,2331,01/01/2012,Volume 48hrs,East/West
4-5-308,00000287__,13.7,40.569904,-74.559471,18,1806,Somerset,Bridgewater Twp,132582,69079,63503,01/01/2012,Volume 48hrs,North/South
8-5-202,00000009__,42.77,39.42675721,-74.50609325,1,101,Atlantic,Absecon City,10766,5174,5592,01/01/2012,Volume 48hrs,North/South
12n891r,00000046__B106410,,40.89332432,-74.12728206,2,211,Bergen,Elmwood Park Boro,0,2597,0,01/01/2012,ramp,East
8-8-600,01021381__,0.04,39.37135586,-74.41406584,1,102,Atlantic,Atlantic City,348,40,308,01/01/2012,Volume 48hrs,East/West
12n015r,00000280__A100820,8.2,40.795826,-74.25325,7,722,Essex,West Orange Twp,,1975,,01/01/2012,ramp,East
